"NAME","NAME_ORIG","NAME_ENG","NAME_EXTRA","CODE","COUNTRY"
"БАВЛЕНЫ","БАВЛЕНЫ",,"БАВЛЕНЫ",317201,"Россия"
"БАГАЕВКА","БАГАЕВКА",,"БАГАЕВКА",620809,"Россия"
"БАГАН","БАГАН",,"БАГАН",837500,"Россия"
"БАГРАТИОНОВСК","БАГРАТИОНОВСК",,"БАГРАТИОНОВСК",102204,"Россия"
"БАГРАТИОНОВСК (ЭКСП.)","БАГРАТИОНОВСК (ЭКСП.)",,"БАГРАТИОНОВСК (ЭКСП.)",102308,"Россия"
"БАГУЛЬНАЯ","БАГУЛЬНАЯ",,"БАГУЛЬНАЯ",924501,"Россия"
"БАДА","БАДА",,"БАДА",940701,"Россия"
"БАЖЕНОВО","БАЖЕНОВО",,"БАЖЕНОВО",793503,"Россия"
"БАЗАИХА","БАЗАИХА",,"БАЗАИХА",892103,"Россия"
"БАЗАРНАЯ","БАЗАРНАЯ",,"БАЗАРНАЯ",642307,"Россия"
"БАЙКАИМ","БАЙКАИМ",,"БАЙКАИМ",872608,"Россия"
"БАЙКАЛ","БАЙКАЛ",,"БАЙКАЛ",933604,"Россия"
"БАЙКАЛ-ПЕРЕВАЛКА","БАЙКАЛ-ПЕРЕВАЛКА",,"БАЙКАЛ-ПЕРЕВАЛКА",933708,"Россия"
"БАЙКАЛЬСК","БАЙКАЛЬСК",,"БАЙКАЛЬСК",933801,"Россия"
"БАЙРОНОВКА","БАЙРОНОВКА",,"БАЙРОНОВКА",920407,"Россия"
"БАЙТУК","БАЙТУК",,"БАЙТУК",815906,"Россия"
"БАЙЧУРОВО","БАЙЧУРОВО",,"БАЙЧУРОВО",605103,"Россия"
"БАКАЛ","БАКАЛ",,"БАКАЛ",806907,"Россия"
"БАКАНСКАЯ","БАКАНСКАЯ",,"БАКАНСКАЯ",521503,"Россия"
"БАКАРИЦА","БАКАРИЦА",,"БАКАРИЦА",290305,"Россия"
"БАКАРИЦА (ПЕРЕВ.)","БАКАРИЦА (ПЕРЕВ.)",,"БАКАРИЦА (ПЕРЕВ.)",290808,"Россия"
"БАКАРИЦА (ЭКСП.)","БАКАРИЦА (ЭКСП.)",,"БАКАРИЦА (ЭКСП.)",291001,"Россия"
"БАКЛАНКА","БАКЛАНКА",,"БАКЛАНКА",303105,"Россия"
"БАЛАБАНОВО","БАЛАБАНОВО",,"БАЛАБАНОВО",183606,"Россия"
"БАЛАГАЧЕВО","БАЛАГАЧЕВО",,"БАЛАГАЧЕВО",875409,"Россия"
"БАЛАКИРЕВО","БАЛАКИРЕВО",,"БАЛАКИРЕВО",313304,"Россия"
"БАЛАКОВО","БАЛАКОВО",,"БАЛАКОВО",625107,"Россия"
"БАЛАНДИНО","БАЛАНДИНО",,"БАЛАНДИНО",801903,"Россия"
"БАЛАХНА","БАЛАХНА",,"БАЛАХНА",261805,"Россия"
"БАЛАШЕЙКА","БАЛАШЕЙКА",,"БАЛАШЕЙКА",643105,"Россия"
"БАЛАШИХА","БАЛАШИХА",,"БАЛАШИХА",230309,"Россия"
"БАЛАШОВ 1","БАЛАШОВ 1",,"БАЛАШОВ 1",605300,"Россия"
"БАЛАШОВ-ПАССАЖИРСКИЙ","БАЛАШОВ-ПАССАЖИРСКИЙ",,"БАЛАШОВ-ПАССАЖИРСКИЙ",605404,"Россия"
"БАЛЕВО","БАЛЕВО",,"БАЛЕВО",212809,"Россия"
"БАЛЕЗИНО","БАЛЕЗИНО",,"БАЛЕЗИНО",275808,"Россия"
"БАЛМОШНАЯ","БАЛМОШНАЯ",,"БАЛМОШНАЯ",760900,"Россия"
"БАЛТИЙСК","БАЛТИЙСК",,"БАЛТИЙСК",103404,"Россия"
"БАЛТИЙСКИЙ ЛЕС","БАЛТИЙСКИЙ ЛЕС",,"БАЛТИЙСКИЙ ЛЕС",103207,"Россия"
"БАЛТИЙСКИЙ ЛЕС (ЭКСП.)","БАЛТИЙСКИЙ ЛЕС (ЭКСП.)",,"БАЛТИЙСКИЙ ЛЕС (ЭКСП.)",103508,"Россия"
"БАЛТИЙСК (ПАРОМ)","БАЛТИЙСК (ПАРОМ)",,"БАЛТИЙСК (ПАРОМ)",103601,"Россия"
"БАЛТИЙСК (ПАРОМ ЗКСПОРТ)","БАЛТИЙСК (ПАРОМ ЗКСПОРТ)",,"БАЛТИЙСК (ПАРОМ ЗКСПОРТ)",104106,"Россия"
"БАЛТИЙСК (ПАРОМ ЭКСП. В ПОРТЫ ТРЕТЬХ СТ)","БАЛТИЙСК (ПАРОМ ЭКСП. В ПОРТЫ ТРЕТЬХ СТ)",,"БАЛТИЙСК (ПАРОМ ЭКСП. В ПОРТЫ ТРЕТЬХ СТ)",104500,"Россия"
"БАЛТИЙСК (ЭКСП.)","БАЛТИЙСК (ЭКСП.)",,"БАЛТИЙСК (ЭКСП.)",103902,"Россия"
"БАЛЫКСУ","БАЛЫКСУ",,"БАЛЫКСУ",886507,"Россия"
"БАЛЯГА","БАЛЯГА",,"БАЛЯГА",940307,"Россия"
"БАМОВСКАЯ","БАМОВСКАЯ",,"БАМОВСКАЯ",951602,"Россия"
"БАРАБИНСК","БАРАБИНСК",,"БАРАБИНСК",833603,"Россия"
"БАРАНОВСКИЙ","БАРАНОВСКИЙ",,"БАРАНОВСКИЙ",988402,"Россия"
"БАРАНЧИНСКАЯ","БАРАНЧИНСКАЯ",,"БАРАНЧИНСКАЯ",772503,"Россия"
"БАРАТЫ","БАРАТЫ",,"БАРАТЫ",936301,"Россия"
"БАРДИНО","БАРДИНО",,"БАРДИНО",863100,"Россия"
"БАРЗАС","БАРЗАС",,"БАРЗАС",872006,"Россия"
"БАРНАУЛ","БАРНАУЛ",,"БАРНАУЛ",840109,"Россия"
"БАРНАУЛ-ПЕРЕВАЛКА","БАРНАУЛ-ПЕРЕВАЛКА",,"БАРНАУЛ-ПЕРЕВАЛКА",840409,"Россия"
"БАРНУКОВКА","БАРНУКОВКА",,"БАРНУКОВКА",609801,"Россия"
"БАРЫБИНО","БАРЫБИНО",,"БАРЫБИНО",192709,"Россия"
"БАРЫШ","БАРЫШ",,"БАРЫШ",642507,"Россия"
"БАРЯТИНСКАЯ","БАРЯТИНСКАЯ",,"БАРЯТИНСКАЯ",187503,"Россия"
"БАСКАКОВКА","БАСКАКОВКА",,"БАСКАКОВКА",174823,"Россия"
"БАСКАЯ","БАСКАЯ",,"БАСКАЯ",767609,"Россия"
"БАТАЙСК","БАТАЙСК",,"БАТАЙСК",510007,"Россия"
"БАТАЛИНО","БАТАЛИНО",,"БАТАЛИНО",69400,"Россия"
"БАТАРЕЙНАЯ","БАТАРЕЙНАЯ",,"БАТАРЕЙНАЯ",932601,"Россия"
"БАТЕЦКАЯ","БАТЕЦКАЯ",,"БАТЕЦКАЯ",58302,"Россия"
"БАТУННАЯ","БАТУННАЯ",,"БАТУННАЯ",841309,"Россия"
"БАХАРЕВКА","БАХАРЕВКА",,"БАХАРЕВКА",761405,"Россия"
"БАХМЕТСКОЕ","БАХМЕТСКОЕ",,"БАХМЕТСКОЕ",792403,"Россия"
"БАХЧИСАРАЙ","БАХЧИСАРАЙ",,"БАХЧИСАРАЙ",473607,"Россия"
"БАХЧИСАРАЙ","БАХЧИСАРАЙ",,"БАХЧИСАРАЙ",857203,"Россия"
"БАШМАКОВО","БАШМАКОВО",,"БАШМАКОВО",632906,"Россия"
"БЕЖЕЦК","БЕЖЕЦК",,"БЕЖЕЦК",51708,"Россия"
"БЕЗБОЖНИК","БЕЗБОЖНИК",,"БЕЗБОЖНИК",272000,"Россия"
"БЕЗВОДОВКА","БЕЗВОДОВКА",,"БЕЗВОДОВКА",642901,"Россия"
"БЕЗЕНЧУК","БЕЗЕНЧУК",,"БЕЗЕНЧУК",638501,"Россия"
"БЕЗМЕНОВО","БЕЗМЕНОВО",,"БЕЗМЕНОВО",841008,"Россия"
"БЕЗРЕЧНАЯ","БЕЗРЕЧНАЯ",,"БЕЗРЕЧНАЯ",944401,"Россия"
"БЕЗЫМЯНКА","БЕЗЫМЯНКА",,"БЕЗЫМЯНКА",657803,"Россия"
"БЕЗЫМЯННАЯ","БЕЗЫМЯННАЯ",,"БЕЗЫМЯННАЯ",626006,"Россия"
